event index,dwell time (s),n_lat *,condensate lifetime (s)
0,6.291,253.4875725,5.055
1,6.331,326.6963332,39.104
2,6.338,276.9784993,26.522
3,7.184,371.6797672,30.626
4,8.814,212.7069251,10.93
5,10.026,247.3882721,8.787
6,10.655,373.2511383,23.83
7,11.434,336.0709721,15.989
8,12.607,298.7452128,25.408
9,13.695,383.0309916,102.912
10,13.866,280.6454607,15.135
11,14.087,302.2614235,20.145
12,14.087,315.1080633,24.145
13,15.667,314.8509894,13.351
14,16.602,262.2298008,21.651
15,16.841,365.5149796,3.569
16,17.542,381.7643202,41.587
17,20.114,589.1676959,154.724
18,20.403,283.2070234,27.752
19,20.436,442.0070744,13.727
20,20.704,275.825329,29.536
21,20.991,418.5973209,32.778
22,22.174,267.5734415,4.015
23,22.716,267.9170134,11.348
24,23.579,373.7962192,18.837
25,23.968,261.9121842,21.43
26,24.036,197.52514,30.374
27,28.031,420.9282527,26.09
28,28.12,368.4055268,24.103
29,28.134,271.0703304,15.154
30,28.324,259.3765215,6.534
31,29.026,307.6443787,20.2
32,30.16,403.0872209,15.605
33,30.256,293.4054046,3.768
34,30.74,308.3428106,9.407
35,31.776,293.3415795,6.346
36,31.982,307.9473787,14.029
37,32.729,290.5115497,31.595
38,35.513,258.0436411,5.077
39,36.032,244.4299017,25.996
40,36.542,374.5504576,13.704
41,36.542,260.0917662,15.966
42,38.804,324.2291621,36.707
43,40.359,256.1727714,7.098
44,41.007,337.7324702,19.911
45,41.007,230.7359588,17.161
46,44.02,340.3414559,26.012
47,46.319,223.5947936,30.221
48,46.451,244.0256792,26.33
49,46.787,398.2765501,64.445
50,46.831,325.6193969,36.27
51,48.028,373.6187128,19.993
52,50.662,283.3340001,21.454
53,50.764,246.0251883,16.743
54,51.029,264.1999925,25.721
55,51.909,300.1028031,22.89
56,52.798,356.575796,58.261
57,53.064,298.2874217,23.103
58,54.249,424.0225498,39.662
59,54.779,727.0393969,105.035
60,54.914,438.5645495,45.734
61,56.846,269.0370725,9.015
62,57.352,258.7561427,8.156
63,58.048,448.1411622,26.019
64,58.418,216.5549845,32.246
65,63.814,482.5470456,54.7
66,64.27,249.3424059,10.096
67,64.305,350.0131459,53.843
68,66.048,448.7937063,15.216
69,66.249,347.4777725,29.544
70,66.378,419.2089379,56.285
71,69.021,267.0112389,17.375
72,71.709,249.1576105,25.392
73,72.958,351.6803204,36.391
74,74.954,360.0326888,33.745
75,76.451,458.3406439,40.259
76,76.451,401.1734551,26.18
77,79.487,354.0109358,34.424
78,79.487,239.4055744,13.145
79,80.438,237.0011374,24.4
80,80.539,284.2151894,52.383
81,82.563,234.6375984,22.144
82,83.224,407.5629283,6.538
83,84.612,336.1366591,78.554
84,97.962,366.4572269,33.094
85,98.381,463.2393438,56.163
86,104.569,385.6539276,17.146
87,108.024,361.8396548,34.416
88,116.781,393.8560123,42.274
89,116.781,229.5214764,4.03
90,118.806,228.4418436,28.201
91,124.613,317.863228,29.057
92,140.938,200.5694798,24.174
93,140.938,189.9847195,6.027
94,142.904,533.8369699,94.566
95,167.287,518.6052915,65.813
96,175.164,214.7133859,22.1
97,175.164,244.0626291,44.275
98,212.126,296.1642616,48.733
99,222.827,274.0567277,17.109
100,304.799,318.5459681,30.25